Names,links,Image,Description
BJP Delhi CM,https://timesofindia.indiatimes.com/india/celebrations-erupt-outside-rekha-guptas-residence-as-bjp-names-her-delhis-next-cm/articleshow/118392292.cms,,"Aadar calls past relationships 'time pass', faces backlash"
Who is Rekha Gupta,https://timesofindia.indiatimes.com/india/who-is-rekha-gupta-delhis-next-chief-minister/articleshow/118391683.cms,,What’s happening with the OTT deal for Sky Force?
Champions Trophy Points Table,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy/points-table,,Nicole Kidman's 'Babygirl' CENSORED in India
IND vs PAK Head to Head,https://timesofindia.indiatimes.com/sports/cricket/india-vs-pakistan-head-to-head-upcoming-match-schedule-and-results/108258195,,Vicky’s climax look in Chhaava took over four hours of make-up
Champions Trophy Schedule 2025,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy/schedule-fixtures,,6 benefits of drinking Okra water with lemon every morning
Delhi Cabinet Ministers,https://timesofindia.indiatimes.com/india/who-are-the-6-cabinet-ministers-sworn-in-with-rekha-gupta-in-delhi/articleshow/118410272.cms,,Optical illusion: What you see shows how you handle stress
Sanju Samson,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/thoda-aur-bhaiya-sanju-samsons-cute-reaction-to-ms-dhonis-ipl-career/articleshow/118404832.cms,,Zahan Kapoor says shooting with Shah Rukh Khan was 'difficult'
Lamelo Ball,https://timesofindia.indiatimes.com/sports/nba/top-stories/lonzo-liangelo-and-lamelo-balls-father-lavar-ball-faces-major-health-battle-undergoes-foot-amputation/articleshow/118402417.cms,,Celebrity MasterChef: Net worth of the contestants
,https://timesofindia.indiatimes.com/forceforgood?utm_source=TOI&utm_medium=SpotlightSlug_US&utm_campaign=AForceForGood,https://static.toiimg.com/photo/83033472.cms,Exclusive: Rozlyn shares PET scan reports with Hina's name on it
,https://timesofindia.indiatimes.com/business/financial-literacy?utm_source=TOI&utm_medium=Co-Marekting&utm_campaign=FLD,https://static.toiimg.com/photo/83033472.cms,Munmun shares a hilarious video dancing to Govinda’s song
Entertainment,https://timesofindia.indiatimes.com/etimes,,Kaveri Kapur: 'I was happy when my parents got divorced'
"Bhumi recalls falling on stage in UP in front of 30,000 people",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/bhumi-pednekar-recalls-falling-on-stage-in-up-in-front-of-30000-people-while-hosting-with-ayushmanna-khurrana-mere-liye-woh-comedy-bilkul-nahi-tha-/articleshow/118418591.cms,https://static.toiimg.com/photo/83033472.cms,Vishal slams outrage over Samay and Ranveer controversy
Ministry of I&B issues an advisory to OTT platforms,https://timesofindia.indiatimes.com/web-series/news/hindi/ministry-of-information-and-broadcasting-issues-an-advisory-to-ott-platforms-to-regulate-the-alleged-spread-of-obscene-content/articleshow/118418493.cms,https://static.toiimg.com/photo/83033472.cms,Etimes Photos
Arjun REACTS to people judging him for surname-looks,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/arjun-kapoor-reacts-to-people-judging-him-based-on-his-surname-and-looks-i-dont-appreciate-that-kind-of-criticism-/articleshow/118417480.cms,https://static.toiimg.com/photo/83033472.cms,Reviews
Bollywood Actors Who Love Painting,https://timesofindia.indiatimes.com/entertainment/hindi/web-stories/bollywood-actors-who-love-painting/photostory/118414831.cms,https://static.toiimg.com/photo/83033472.cms,Critic Rating
STI4: When Vineeta was called out for wearing jeans and tight top,https://timesofindia.indiatimes.com/tv/news/hindi/from-being-called-out-for-wearing-jeans-and-tight-top-to-discussing-bank-balance-with-husband-before-going-to-bed-shark-tank-india-4s-vineeta-singh-makes-candid-revelations/photostory/118419958.cms,https://static.toiimg.com/photo/83033472.cms,3.5
When Ranbir left Rashmika crying on sets of Animal,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/when-ranbir-kapoor-left-rashmika-mandanna-crying-on-sets-of-animal-hum-toh-aam-aadmi-hain-naa-/articleshow/118416828.cms,,Critic Rating
Shenaz loses a brand following Ranveer's controversy,https://timesofindia.indiatimes.com/web-series/news/hindi/shenaz-treasury-gets-dropped-by-a-brand-following-the-ranveer-allahbadias-controversy/articleshow/118417866.cms,,3.5
"Aadar calls past relationships 'time pass', faces backlash",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/aadar-jain-faces-backlash-after-calling-his-past-relationships-time-pass-netizens-tag-him-as-a-red-flag/articleshow/118414241.cms,,Critic Rating
What’s happening with the OTT deal for Sky Force?,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/whats-happening-with-the-ott-deal-for-akshay-kumar-veer-pahariyas-sky-force/articleshow/118413380.cms,,3.0
Nicole Kidman's 'Babygirl' CENSORED in India,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/nicole-kidmans-babygirl-censored-in-india-cbfc-deletes-intimate-scenes-and-nudity-from-a-rated-film/articleshow/118414498.cms,,In focus
Vicky’s climax look in Chhaava took over four hours of make-up,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/vicky-kaushals-climax-look-in-chhaava-took-more-than-four-hours-of-make-up-preetisheel-singh-dsouza-exclusive/articleshow/118409694.cms,,Videos
6 benefits of drinking Okra water with lemon every morning,https://timesofindia.indiatimes.com/life-style/health-fitness/diet/6-benefits-of-drinking-okra-water-with-lemon-every-morning/articleshow/118357056.cms,,
Optical illusion: What you see shows how you handle stress,https://timesofindia.indiatimes.com/life-style/relationships/work/optical-illusion-personality-test-first-thing-you-see-reveals-how-you-handle-pressure/articleshow/118330422.cms,,India
Zahan Kapoor says shooting with Shah Rukh Khan was 'difficult',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shashi-kapoors-grandson-zahan-kapoor-says-shooting-with-shah-rukh-khan-was-difficult-hes-older-now-body-unki-/articleshow/118387837.cms,,In pics: Meet the newly sworn-in cabinet of Delhi assembly
Celebrity MasterChef: Net worth of the contestants,https://timesofindia.indiatimes.com/tv/news/hindi/celebrity-masterchef-from-tejasswi-prakash-to-gaurav-khanna-dipika-kakar-and-others-net-worth-of-the-contestants/photostory/118414533.cms,,Who are the 6 cabinet ministers sworn in with Rekha Gupta in Delhi?
Exclusive: Rozlyn shares PET scan reports with Hina's name on it,https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-rozlyn-khan-shares-pet-scan-reports-with-breast-cancer-fighter-hina-khans-name-on-it-says-the-world-will-know-how-she-misused-cancer-as-a-tool-for-publicity/articleshow/118414955.cms,,"Rekha Gupta takes oath as Delhi CM in presence of PM Modi, top NDA leaders"
Munmun shares a hilarious video dancing to Govinda’s song,https://timesofindia.indiatimes.com/tv/news/hindi/taarak-mehtas-munmun-dutta-shares-a-hilarious-video-dancing-to-govindas-song-watch/articleshow/118411998.cms,,Tribunals can’t overturn its own finding on Assam foreigners: SC
Kaveri Kapur: 'I was happy when my parents got divorced',https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kaveri-kapur-i-was-happy-when-my-parents-shekhar-kapur-and-suchitra-krishnamoorthi-got-divorced-but-it-took-a-toll-on-me-exclusive/articleshow/118397477.cms,,"SC adjourns hearing on challenge to CEC, EC selection law; hearings on pre-fixed cases consume bench’s judicial schedule"
Vishal slams outrage over Samay and Ranveer controversy,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/vishal-dadlani-slams-outrage-over-samay-raina-and-ranveer-allahbadia-controversy-questions-what-about-kumbh-stampede/articleshow/118397302.cms,,"Man locks ill mother at home, takes wife, kids to Maha Kumbh for holy dip"
Etimes Photos,https://photogallery.indiatimes.com/,,"Trump admits to poll interference in India, BJP shares PM's clips to pin blame on Congress"
10Dia Mirza's ethnic wear,https://photogallery.indiatimes.com/celebs/bollywood/dia-mirzas-ethnic-wear-is-a-captivating-display-of-timeless-elegance-and-grace/articleshow/114243360.cms,https://static.toiimg.com/photo/83033472.cms,UP Budget 2025 is dedicated to Sanatan culture of India: Yogi Adityanath
10Sonakshi-Zaheer's adorable pics,https://photogallery.indiatimes.com/celebs/bollywood/sonakshi-and-zaheer-dazzle-in-matching-red-outfits-perfectly-coordinating-their-festive-look/articleshow/113655480.cms,https://static.toiimg.com/photo/83033472.cms,'Exercise caution': Centre's advisory to OTT platforms amid 'India's Got Latent' row
10Amyra Dastur's golden glamour,https://photogallery.indiatimes.com/celebs/bollywood/amyra-dasturs-golden-off-shoulder-dress-is-a-fashion-polices-delight-see-pics/articleshow/113627162.cms,https://static.toiimg.com/photo/83033472.cms,TOI Videos
10Tamannaah's animal print outfit,https://photogallery.indiatimes.com/celebs/bollywood/tamannaah-bhatia-turns-heads-in-bold-animal-print-and-furry-ensemble-see-pics/articleshow/113484820.cms,https://static.toiimg.com/photo/83033472.cms,
10Madhuri's white Patola saree,https://photogallery.indiatimes.com/celebs/bollywood/in-pics-madhuri-dixits-unmissable-elegance-shines-in-a-white-patola-saree/articleshow/113385665.cms,https://static.toiimg.com/photo/83033472.cms,City
10Sanya redefines power dressing,https://photogallery.indiatimes.com/celebs/bollywood/sanya-malhotra-redefines-power-dressing-with-her-bold-and-chic-style/articleshow/113286980.cms,https://static.toiimg.com/photo/83033472.cms,"In picking Rekha Gupta for Delhi CM's post, RSS student wing strikes again"
11B-Town divas welcome Bappa in style,https://photogallery.indiatimes.com/celebs/bollywood/from-kareena-kapoor-to-ananya-panday-bollywood-divas-welcome-bappa-in-style/articleshow/113189471.cms,https://static.toiimg.com/photo/83033472.cms,HC seeks Uttarakhand govt's reply as UCC form asks for live-in couples’ past info
10Urmila Matondkar the timeless beauty,https://photogallery.indiatimes.com/celebs/bollywood/in-pics-urmila-matondkar-is-the-ultimate-fashion-diva-with-timeless-beauty/articleshow/113020243.cms,https://static.toiimg.com/photo/83033472.cms,"As oven deadline looms, Maharashtra neta seeks heritage tag for Irani bakeries"
10Ananya Panday's style file,https://photogallery.indiatimes.com/celebs/bollywood/ananya-pandays-style-the-versatile-journey-down-fashions-many-roads/articleshow/112898574.cms,https://static.toiimg.com/photo/83033472.cms,Youth who entered Shah Rukh Khan's bungalow 'Mannat' in 2023 caught for burglary in Gujarat
Reviews,https://timesofindia.indiatimes.com/web-series/reviews,,Delhi CM's oath-taking today; BJP pulls out all stops to make it a grand affair
"ChhaavaChhaava’s excellence lies in its terrific climax. You just wish the film relied and trusted its solid story more than Rahman's music, which largely feels out of place.Critic Rating3.5",https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/chhaava/movie-review/118225189.cms,,"Wife, ‘lover’ held for killing man pursuing her rape case in UP court"
"Dhoom DhaamDhoom Dhaam is a fast-paced rollercoaster of action, comedy, and mystery, powered by Yami Gautam Dhar and Pratik Gandhi’s electric chemistry.Critic Rating3.5",https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/dhoom-dhaam/ottmoviereview/118240181.cms,,Uttarakhand to ban outsiders from buying agri land
"Captain America: Brave New WorldDespite its convoluted plot and occasional pacing issues, Brave New World delivers thrilling aerial battles and hand-to-hand combats, strong performances, and enough spectacle to entertain superheroCritic Rating3.0",https://timesofindia.indiatimes.com/entertainment/english/movie-reviews/captain-america-brave-new-world/movie-review/118234432.cms,,"Planned drama, says Muda scam case petitioner as Lokayukta gives Siddaramaiah, his wife clean chit"
Aadar Jain,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/aadar-jain-faces-backlash-after-calling-his-past-relationships-time-pass-netizens-tag-him-as-a-red-flag/articleshow/118414241.cms,,"Arvind Kejriwal, Atishi among those to congratulate Delhi CM-designate Rekha Gupta"
Skyforce,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/whats-happening-with-the-ott-deal-for-akshay-kumar-veer-pahariyas-sky-force/articleshow/118413380.cms,,
Samay Raina,https://timesofindia.indiatimes.com/web-series/news/hindi/samay-rain-to-receive-second-summons-from-maharashtra-cyber-department/articleshow/118412568.cms,,Sports
Vicky Kaushal,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/vicky-kaushals-climax-look-in-chhaava-took-more-than-four-hours-of-make-up-preetisheel-singh-dsouza-exclusive/articleshow/118409694.cms,,ICC approves Imam-ul-Haq as Fakhar's replacement in Pak squad
Arjun Kapoor,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/arjun-kapoor-on-love-and-relationships-after-breakup-with-malaika-arora-its-about-sharing-silences-not-just-togetherness/articleshow/118402246.cms,,'Thoda aur bhaiya' - Samson's cute reaction to Dhoni's IPL career
Daniel Fernandes,https://timesofindia.indiatimes.com/web-series/news/hindi/dont-worry-about-samay-raina-says-comedian-daniel-fernandes-amid-the-indias-got-latent-controversy/articleshow/118401985.cms,,Dominant NZ crush Pakistan in Champions Trophy opener
Justin Baldoni,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/justin-baldonis-legal-team-reacts-to-blake-livelys-amended-lawsuit-netizens-convinced-actress-and-husband-ryan-reynolds-will-lose-400-million-battle/articleshow/118401651.cms,,CT Digest: India open campaign after Pakistan's sorry start
Vicky Kaushal,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/chhaava-star-vicky-kaushals-movies-to-watch-on-ott/articleshow/118401616.cms,,"India's spin puzzle: Why Axar, Jadeja are irreplaceable in Champions Trophy plans"
Videos,https://timesofindia.indiatimes.com/videos,,Jerk Fox
03:20Apoorva Mukhija Unfollows Everyone; Is the 'IGL' Controversy Tearing Her Inner Circle Apart?,https://timesofindia.indiatimes.com/videos/etimes/bollywood/apoorva-mukhija-unfollows-everyone-is-the-igl-controversy-tearing-her-inner-circle-apart/videoshow/118411624.cms,https://static.toiimg.com/photo/83033472.cms,Josh Allen
03:20Apoorva Mukhija Unfollows Everyone; Is the 'IGL' Controversy Tearing Her Inner Circle Apart?,https://timesofindia.indiatimes.com/videos/etimes/bollywood/apoorva-mukhija-unfollows-everyone-is-the-igl-controversy-tearing-her-inner-circle-apart/videoshow/118411624.cms,https://static.toiimg.com/photo/83033472.cms,Patrick Mahomes
03:10Drake’s Drone Stunt Backfires! Fans Call Out ‘Fake’ Footage & Over-the-Top Acting,https://timesofindia.indiatimes.com/videos/entertainment/english/drakes-drone-stunt-backfires-fans-call-out-fake-footage-over-the-top-acting/videoshow/118411526.cms,https://static.toiimg.com/photo/83033472.cms,Jimmy Butler
24:39Exclusive: Saba Azad & Saqib Saleem Address Importance Of Self-Censorship & Side Effects Of Social Media,https://timesofindia.indiatimes.com/videos/etimes/bollywood/exclusive-saba-azad-saqib-saleem-address-importance-of-self-censorship-side-effects-of-social-media/videoshow/118387228.cms,https://static.toiimg.com/photo/83033472.cms,Luka Doncic
03:12Blake Lively Accuses Justin Baldoni of On-Set Misconduct – Shocking Allegations Surface!,https://timesofindia.indiatimes.com/videos/entertainment/english/blake-lively-accuses-justin-baldoni-of-on-set-misconduct-shocking-allegations-surface/videoshow/118402411.cms,https://static.toiimg.com/photo/83033472.cms,
"03:11Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’",https://timesofindia.indiatimes.com/videos/etimes/bollywood/supreme-court-hits-ranveer-for-perverted-remarks-passport-seized-travel-blocked-calls-out-his-dirty-mind/videoshow/118354565.cms,https://static.toiimg.com/photo/83033472.cms,Trending
03:08Heartbreaking Goodbye: Kim Sae-Ron’s Emotional Funeral Leaves K-Stars in Tears,https://timesofindia.indiatimes.com/videos/entertainment/regional/others/heartbreaking-goodbye-kim-sae-rons-emotional-funeral-leaves-k-stars-in-tears/videoshow/118381722.cms,https://static.toiimg.com/photo/83033472.cms,
India,https://timesofindia.indiatimes.com/india,,Visual Stories
"Surrender looted, illegally-held weapons within 7 days or face strict action: Manipur Governor's ultimatum",https://timesofindia.indiatimes.com/india/surrender-looted-illegally-held-weapons-within-7-days-or-face-strict-action-manipur-governors-ultimatum/articleshow/118420236.cms,https://static.toiimg.com/photo/83033472.cms,
In pics: Meet the newly sworn-in cabinet of Delhi assembly,https://timesofindia.indiatimes.com/india/the-newly-sworn-in-delhi-cabinet-includes-rekha-gupta-ramvir-singh-bidhuri-vijender-gupta-ajay-mahawar-anil-bajpai-bhavna-gaur-and-mohan-singh-bisht-/photostory/118412023.cms,,Astrology
Who are the 6 cabinet ministers sworn in with Rekha Gupta in Delhi?,https://timesofindia.indiatimes.com/india/who-are-the-6-cabinet-ministers-sworn-in-with-rekha-gupta-in-delhi/articleshow/118410272.cms,,"Daily Muhurat Update (February 20, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for New York City"
"Rekha Gupta takes oath as Delhi CM in presence of PM Modi, top NDA leaders",https://timesofindia.indiatimes.com/india/rekha-gupta-takes-oath-as-delhi-cm-in-presence-of-pm-modi-top-nda-leaders/articleshow/118407994.cms,,Which Zodiac Would Have the Best Theme Park?
Tribunals can’t overturn its own finding on Assam foreigners: SC,https://timesofindia.indiatimes.com/india/tribunals-cant-overturn-its-own-finding-on-assam-foreigners-sc/articleshow/118408756.cms,,"Beyond swipes: 5 Zodiac signs that crave deep, real-life love"
"SC adjourns hearing on challenge to CEC, EC selection law; hearings on pre-fixed cases consume bench’s judicial schedule",https://timesofindia.indiatimes.com/india/sc-adjourns-hearing-on-challenge-to-cec-ec-selection-law-hearings-on-pre-fixed-cases-consume-benchs-judicial-schedule/articleshow/118408626.cms,,"Love & Dating Horoscope for February 20, 2025"
"Man locks ill mother at home, takes wife, kids to Maha Kumbh for holy dip",https://timesofindia.indiatimes.com/india/man-locks-ill-mother-at-home-takes-wife-kids-to-maha-kumbh-for-holy-dip/articleshow/118418987.cms,,Which Zodiac Would Have the Most Aesthetic Instagram Feed?
"Trump admits to poll interference in India, BJP shares PM's clips to pin blame on Congress",https://timesofindia.indiatimes.com/india/trump-admits-to-poll-interference-in-india-bjp-shares-pms-clips-to-pin-blame-on-congress/articleshow/118413701.cms,,Best Husbands by Date of Birth – Because the Stars Have a Type
UP Budget 2025 is dedicated to Sanatan culture of India: Yogi Adityanath,https://timesofindia.indiatimes.com/india/up-budget-2025-is-dedicated-to-sanatan-culture-of-india-yogi-adityanath/articleshow/118414926.cms,,"Horoscope Tomorrow, February 21, 2025: Your zodiac insights await"
'Exercise caution': Centre's advisory to OTT platforms amid 'India's Got Latent' row,https://timesofindia.indiatimes.com/india/exercise-caution-centres-advisory-to-ott-platforms-amid-indias-got-latent-row/articleshow/118412550.cms,,7 Things to Absolutely Avoid During Shivratri – Unless Chaos is the Goal
'Arvind Kejriwal will have to spend most of his time in jail': BJP's Delhi minister-pick Manjinder Singh Sirsa,https://timesofindia.indiatimes.com/india/arvind-kejriwal-will-have-to-spend-most-of-his-time-in-jail-bjps-delhi-minister-pick-manjinder-singh-sirsa/articleshow/118407970.cms,https://static.toiimg.com/photo/83033472.cms,"Daily Muhurat Update (February 20, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for Los Angeles"
'Guess they were trying to get somebody else elected: Donald Trump on $21m fund for India,https://timesofindia.indiatimes.com/india/we-have-got-to-tell-indian-government-donald-trump-questions-21-million-us-fund-for-voter-turnout-in-india/articleshow/118404427.cms,https://static.toiimg.com/photo/83033472.cms,
'Disturbing': SC on Lokpal order which entertained complaints against sitting HC judges,https://timesofindia.indiatimes.com/india/disturbing-sc-on-lokpal-order-which-entertained-complaints-against-sitting-hc-judge/articleshow/118406748.cms,https://static.toiimg.com/photo/83033472.cms,US News
Ramdev blocks Bryan Johnson on X over Haridwar air quality comment on Patanjali post,https://timesofindia.indiatimes.com/india/ramdev-blocks-anti-ageing-campaigner-bryan-johnson-on-x-over-air-quality-comment-on-patanjali-post/articleshow/118406529.cms,https://static.toiimg.com/photo/83033472.cms,Donald Trump wants his new Air Force One jets fast: ‘Boeing's been building this thing forever’
TOI Videos,https://timesofindia.indiatimes.com/videos,,Who is Leland Dudek? Pro-DOGE ‘anti-fraud expert’ takes over as SSA chief after Michelle King’s exit
03:36Woman Arrested For Posting Israel PM's Fake Obituary Online | Full Detail,https://timesofindia.indiatimes.com/videos/international/woman-arrested-for-posting-israel-pms-fake-obituary-online-full-detail/videoshow/118414077.cms,https://static.toiimg.com/photo/83033472.cms,'Guess they were trying to get somebody else elected: Donald Trump on $21m fund for India
03:36Woman Arrested For Posting Israel PM's Fake Obituary Online | Full Detail,https://timesofindia.indiatimes.com/videos/international/woman-arrested-for-posting-israel-pms-fake-obituary-online-full-detail/videoshow/118414077.cms,https://static.toiimg.com/photo/83033472.cms,California judge shoots wife during argument while watching 'Breaking Bad'
"03:06Meghan Markle's New Show Fails To Impress, Little Preview Before Release Gets Brutal Review",https://timesofindia.indiatimes.com/videos/entertainment/english/meghan-markles-new-show-fails-to-impress-little-preview-before-release-gets-brutal-review/videoshow/118412773.cms,https://static.toiimg.com/photo/83033472.cms,Elon Musk 'misinterprets' Social Security data; Experts say millions of dead not receiving benefits
03:21Hungary Against Ukraine’s EU Bid; Orban Says ‘Entry Will Burden Members’ | Details,https://timesofindia.indiatimes.com/videos/international/hungary-against-ukraines-eu-bid-orban-says-entry-will-burden-members-details/videoshow/118408021.cms,https://static.toiimg.com/photo/83033472.cms,'He did this while kids were dying': Elon Musk slams Zelenskyy over wartime Vogue photoshoot
05:09‘Trump Speaks For Himself’: Senate Majority Leader Comes In Support Of Zelensky,https://timesofindia.indiatimes.com/videos/international/trump-speaks-for-himself-senate-majority-leader-comes-in-support-of-zelensky/videoshow/118411257.cms,https://static.toiimg.com/photo/83033472.cms,"Steve Bannon calls Elon Musk a ‘parasitic illegal immigrant’, escalates criticism and questions his influence in the US Government"
03:56Barbie Hsu's Ex Husband Wang Xiaofei Sparks Outrage With Contrasting Actions In China,https://timesofindia.indiatimes.com/videos/entertainment/regional/others/barbie-hsus-ex-husband-wang-xiaofei-sparks-outrage-with-contrasting-actions-in-china/videoshow/118415002.cms,https://static.toiimg.com/photo/83033472.cms,Mindy Kaling’s star on Hollywood Walk of Fame being celebrated by Indian-Americans in entertainment sector
03:10Drake’s Drone Stunt Backfires! Fans Call Out ‘Fake’ Footage & Over-the-Top Acting,https://timesofindia.indiatimes.com/videos/entertainment/english/drakes-drone-stunt-backfires-fans-call-out-fake-footage-over-the-top-acting/videoshow/118411526.cms,https://static.toiimg.com/photo/83033472.cms,How FBI lead Kash Patel stands to make millions from Shein the Chinese company
City,https://timesofindia.indiatimes.com/city,,
,javascript: void(0),,Business
Gurgaon lawyer held for Noida boy’s death in celebratory firing,https://timesofindia.indiatimes.com/city/noida/city-resident-a-lawyer-held-for-boys-death-in-celebratory-firing/articleshow/118393577.cms,https://static.toiimg.com/photo/83033472.cms,"Stock market today: BSE Sensex opens over 300 points down; Nifty50 below 22,900"
"In picking Rekha Gupta for Delhi CM's post, RSS student wing strikes again",https://timesofindia.indiatimes.com/city/delhi/in-picking-rekha-gupta-for-delhi-cms-post-rss-student-wing-strikes-again/articleshow/118405505.cms,,GenNext less focused on building companies: Uday Kotak
HC seeks Uttarakhand govt's reply as UCC form asks for live-in couples’ past info,https://timesofindia.indiatimes.com/city/dehradun/past-lives-hc-seeks-govt-response-on-ucc-reveal-for-live-in-couples/articleshow/118392353.cms,,Automobiles on government's list for trade talks with US
"As oven deadline looms, Maharashtra neta seeks heritage tag for Irani bakeries",https://timesofindia.indiatimes.com/city/mumbai/bjp-neta-dont-let-irani-cafes-go-up-in-smoke-give-heritage-tag/articleshow/118394926.cms,,Irdai forms committee to review Insurance Act
Youth who entered Shah Rukh Khan's bungalow 'Mannat' in 2023 caught for burglary in Gujarat,https://timesofindia.indiatimes.com/city/surat/21-year-old-who-trespassed-srks-bungalow-caught-for-burglary-in-bharuch/articleshow/118394782.cms,,"Tesla likely to import cars from Germany, skip China"
Delhi CM's oath-taking today; BJP pulls out all stops to make it a grand affair,https://timesofindia.indiatimes.com/city/delhi/bjp-pulls-out-all-stops-to-make-it-a-grand-affair/articleshow/118396581.cms,,India auto component industry revenues to expand 8-10% in 2025-26: ICRA
"Wife, ‘lover’ held for killing man pursuing her rape case in UP court",https://timesofindia.indiatimes.com/city/agra/gang-raped-wife-lover-arrested-for-killing-man-pursuing-assault-case-in-court/articleshow/118394008.cms,,UPI users take note! Google Pay introduces convenience fee for these transactions
Uttarakhand to ban outsiders from buying agri land,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-cabinet-nod-to-draft-land-law-banning-outsiders-from-purchasing-agri-horti-land-in-11-districts/articleshow/118395561.cms,,Why India may raise GST on cigarettes and other tobacco products
"Planned drama, says Muda scam case petitioner as Lokayukta gives Siddaramaiah, his wife clean chit",https://timesofindia.indiatimes.com/city/bengaluru/no-proof-lokayukta-clears-cm-wife-2-others-in-muda-scam/articleshow/118397550.cms,,"Top stocks to buy today: Stock recommendations for February 20, 2025"
"Arvind Kejriwal, Atishi among those to congratulate Delhi CM-designate Rekha Gupta",https://timesofindia.indiatimes.com/city/delhi/kejriwal-atishi-among-those-to-congratulate-rekha/articleshow/118396509.cms,,Axis Bank
Sports,https://timesofindia.indiatimes.com/sports,,Provident Fund
LiveIND vs BAN Live: Towhid Hridoy hits century vs India in Dubai,https://timesofindia.indiatimes.com/sports/cricket/india-vs-bangladesh-live-score-ind-vs-ban-champions-trophy-2025-national-cricket-team-scorecard-live-streaming-dubai-stadium/liveblog/118407600.cms,https://static.toiimg.com/photo/83033472.cms,Income Tax Slabs
ICC approves Imam-ul-Haq as Fakhar's replacement in Pak squad,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/champions-trophy-icc-approves-imam-ul-haq-as-fakhar-zamans-replacement-in-pakistan-squad/articleshow/118415903.cms,,GST
'Thoda aur bhaiya' - Samson's cute reaction to Dhoni's IPL career,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/thoda-aur-bhaiya-sanju-samsons-cute-reaction-to-ms-dhonis-ipl-career/articleshow/118404832.cms,,Fixed Deposit rates
Dominant NZ crush Pakistan in Champions Trophy opener,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/dominant-new-zealand-crush-pakistan-by-60-runs-in-champions-trophy-opener/articleshow/118395263.cms,,
CT Digest: India open campaign after Pakistan's sorry start,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/champions-trophy-digest-india-open-campaign-after-pakistans-sorry-start/articleshow/118401440.cms,,Recipes
"India's spin puzzle: Why Axar, Jadeja are irreplaceable in Champions Trophy plans",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/indias-spin-puzzle-why-axar-jadeja-are-irreplaceable-in-champions-trophy-plans/articleshow/118394436.cms,,
07:26Champions Trophy: India's predicted XI vs Bangladesh | What Rohit Sharma said in the press,https://timesofindia.indiatimes.com/videos/sports/cricket/champions-trophy-indias-predicted-xi-vs-bangladesh-what-rohit-sharma-said-in-the-press/videoshow/118411704.cms,https://static.toiimg.com/photo/83033472.cms,Lifestyle
"04:02Mohammad Amir Exclusive: Champions Trophy hopes, India's absence & retirement talk",https://timesofindia.indiatimes.com/videos/sports/cricket/mohammad-amir-exclusive-champions-trophy-hopes-indias-absence-retirement-talk/videoshow/118364891.cms,https://static.toiimg.com/photo/83033472.cms,Style
MS Dhoni shares his secrets for a stress-free existence,https://timesofindia.indiatimes.com/sports/cricket/news/ms-dhoni-shares-his-secrets-for-a-stress-free-existence/articleshow/118414061.cms,https://static.toiimg.com/photo/83033472.cms,Jaya Bachchan's regal Ajrakh ensemble
England hope 'Bazball' fires in Champions Trophy,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/england-hope-bazball-fires-in-champions-trophy/articleshow/118410922.cms,https://static.toiimg.com/photo/83033472.cms,Nike and Kim Kardashian launch new brand NikeSKIMS
Watch: How Rohit Sharma messed up Axar's hat-trick chance,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/watch-how-rohit-sharma-messed-up-axar-patels-hat-trick-chance/articleshow/118416362.cms,https://static.toiimg.com/photo/83033472.cms,Health & Fitness
