Names,links,Image,Description
navi mumbai,https://timesofindia.indiatimes.com/city/navi-mumbai,,Madhuri's white Patola saree
noida,https://timesofindia.indiatimes.com/city/noida,,Sanya redefines power dressing
patna,https://timesofindia.indiatimes.com/city/patna,,B-Town divas welcome Bappa in style
prayagraj,https://timesofindia.indiatimes.com/city/allahabad,,Urmila Matondkar the timeless beauty
puducherry,https://timesofindia.indiatimes.com/city/puducherry,,Ananya Panday's style file
pune,https://timesofindia.indiatimes.com/city/pune,,Apoorva Mukhija Unfollows Everyone; Is the 'IGL' Controversy Tearing Her Inner Circle Apart?
raipur,https://timesofindia.indiatimes.com/city/raipur,,Apoorva Mukhija Unfollows Everyone; Is the 'IGL' Controversy Tearing Her Inner Circle Apart?
rajkot,https://timesofindia.indiatimes.com/city/rajkot,,Drake’s Drone Stunt Backfires! Fans Call Out ‘Fake’ Footage & Over-the-Top Acting
ranchi,https://timesofindia.indiatimes.com/city/ranchi,,Exclusive: Saba Azad & Saqib Saleem Address Importance Of Self-Censorship & Side Effects Of Social Media
thane,https://timesofindia.indiatimes.com/city/thane,,Blake Lively Accuses Justin Baldoni of On-Set Misconduct – Shocking Allegations Surface!
salem,https://timesofindia.indiatimes.com/city/salem,,"Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’"
shillong,https://timesofindia.indiatimes.com/city/shillong,,Heartbreaking Goodbye: Kim Sae-Ron’s Emotional Funeral Leaves K-Stars in Tears
shimla,https://timesofindia.indiatimes.com/city/shimla,,"Surrender looted, illegally-held weapons within 7 days or face strict action: Manipur Governor's ultimatum"
srinagar,https://timesofindia.indiatimes.com/city/srinagar,,'Arvind Kejriwal will have to spend most of his time in jail': BJP's Delhi minister-pick Manjinder Singh Sirsa
surat,https://timesofindia.indiatimes.com/city/surat,,'Guess they were trying to get somebody else elected: Donald Trump on $21m fund for India
trichy,https://timesofindia.indiatimes.com/city/trichy,,'Disturbing': SC on Lokpal order which entertained complaints against sitting HC judges
thiruvananthapuram,https://timesofindia.indiatimes.com/city/thiruvananthapuram,,Ramdev blocks Bryan Johnson on X over Haridwar air quality comment on Patanjali post
udaipur,https://timesofindia.indiatimes.com/city/udaipur,,Woman Arrested For Posting Israel PM's Fake Obituary Online | Full Detail
vadodara,https://timesofindia.indiatimes.com/city/vadodara,,Woman Arrested For Posting Israel PM's Fake Obituary Online | Full Detail
varanasi,https://timesofindia.indiatimes.com/city/varanasi,,"Meghan Markle's New Show Fails To Impress, Little Preview Before Release Gets Brutal Review"
vijayawada,https://timesofindia.indiatimes.com/city/vijayawada,,Hungary Against Ukraine’s EU Bid; Orban Says ‘Entry Will Burden Members’ | Details
visakhapatnam,https://timesofindia.indiatimes.com/city/visakhapatnam,,‘Trump Speaks For Himself’: Senate Majority Leader Comes In Support Of Zelensky
photos,https://timesofindia.indiatimes.com/city/photos,,Barbie Hsu's Ex Husband Wang Xiaofei Sparks Outrage With Contrasting Actions In China
Web Stories,https://timesofindia.indiatimes.com/city/web-stories,,Drake’s Drone Stunt Backfires! Fans Call Out ‘Fake’ Footage & Over-the-Top Acting
Briefs,https://timesofindia.indiatimes.com/briefs,,Gurgaon lawyer held for Noida boy’s death in celebratory firing
India,https://timesofindia.indiatimes.com/india,,IND vs BAN Live: Towhid Hridoy hits century vs India in Dubai
World,https://timesofindia.indiatimes.com/world,,Champions Trophy: India's predicted XI vs Bangladesh | What Rohit Sharma said in the press
Business,https://timesofindia.indiatimes.com/business,,"Mohammad Amir Exclusive: Champions Trophy hopes, India's absence & retirement talk"
Sports,https://timesofindia.indiatimes.com/sports,,MS Dhoni shares his secrets for a stress-free existence
Cricket,https://timesofindia.indiatimes.com/sports/cricket,,England hope 'Bazball' fires in Champions Trophy
Entertainment,https://timesofindia.indiatimes.com/etimes,,Watch: How Rohit Sharma messed up Axar's hat-trick chance
Auto,https://timesofindia.indiatimes.com/auto,,Had doubts if I'd ever play for India again: Mohammed Shami
Tech,https://gadgetsnow.indiatimes.com?utm_source=toiweb&utm_medium=referral&utm_campaign=toiweb_hptopnav,,Job seeker’s rejection email fail is the funniest thing on the internet right now!
Life & Style,https://timesofindia.indiatimes.com/life-style,,Anand Mahindra shares video on mobile phone evolution and questions its future: “Implants in our brains?”
Photos,https://photogallery.indiatimes.com,,Police nab ATM scammer with Rs. 17.9 Lakh; find out where the money went
Blogs,https://timesofindia.indiatimes.com/blogs,,Teen dies after self-injecting butterfly remains; here's what happened
Abound,https://timesclub.app.link/abound,,IITian Baba's 10th and 12th mark-sheet goes viral: Know how he academically performed
ePaper,"https://epaper.indiatimes.com/timesepaper/publication-the-times-of-india,city-delhi.cms?utm_source=TOI&utm_medium=L1&utm_campaign=TOIePaper_Promotions",,​11 mysteries on the Earth that remain unsolved​
TOI+,https://timesofindia.indiatimes.com/toi-plus,,The Worst Planet for a Vacation – Where Even Travel Insurance Won’t Help
Rekha Gupta,https://timesofindia.indiatimes.com/india/delhi-cm-oath-ceremony-2025-live-updates-rekha-gupta-bjp-ramlila-maidan-parvesh-verma-swearing-in-ceremony/liveblog/118402646.cms,,From swipes to soulmates: 5 Zodiac signs that shine in online dating
Sahi hai,https://timesofindia.indiatimes.com/moneymatters,,"If Planets Were Yoga Instructors, Who Would Be the Most Annoying?"
IPL Schedule,https://timesofindia.indiatimes.com/sports/cricket/ipl/schedule,,"Horoscope Today: Astrological Predictions for February 20, 2025"
Champions Trophy Schedule,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy/schedule-fixtures,,5 Zodiac Sign Men Who Bring Unmatched Luck to Their Wives
CEC Appointment,https://timesofindia.indiatimes.com/india/chief-election-commissioner-appointment-live-updates-gyanesh-kumar-cec-rahul-gandhi-vivek-joshi/liveblog/118373927.cms,,Delta's offer of $30k to each passenger of crash-landing flight creates row: 'Are they trying to hide pilots' identity?'
TOISA 2024,https://timesofindia.indiatimes.com/toisa2024?utm_source=TOI&utm_medium=L2&utm_campaign=toisa2024,,Delhi to Mumbai in 12 hours? Delhi-Mumbai Expressway completion delayed by 2 years - here's why
India Schools Online,https://timesofindia.indiatimes.com/education/india-schools-online,,Salary hikes to be flat at 9.2%: Survey
LiveDelhi CM Rekha Gupta to attend Yamuna aarti at Vasudev ghat shortly,https://timesofindia.indiatimes.com/india/delhi-cm-oath-ceremony-2025-live-updates-rekha-gupta-bjp-ramlila-maidan-parvesh-verma-swearing-in-ceremony/liveblog/118402646.cms,"https://static.toiimg.com/thumb/imgsize-293708,msid-118402646,width-600,resizemode-4/118402646.jpg",iPhone parts maker Murata eyes India base
"After Trump's Indian polls expose, BJP shares old clips of PM blaming Cong",https://timesofindia.indiatimes.com/india/trump-admits-to-poll-interference-in-india-bjp-shares-pms-clips-to-pin-blame-on-congress/articleshow/118413701.cms,https://static.toiimg.com/photo/83033472.cms,"ICAI: Disciplinary action against 241 CAs, a new record"
Why India doesn't need ultra-pricey F-35s & what it should get instead,https://timesofindia.indiatimes.com/toi-plus/defence-security/dont-be-f-35ed/articleshow/118393433.cms,https://static.toiimg.com/photo/83033472.cms,"EV policy: Companies require Rs 2,500 crore sales in 2nd year"
'Not safe in our country': Deportees from US cry for help from Panama hotel,https://timesofindia.indiatimes.com/world/rest-of-world/we-are-not-safe-in-our-country-deportees-from-us-cry-for-help-from-panama-hotel/articleshow/118406518.cms,https://static.toiimg.com/photo/83033472.cms,This protein-packed Indian egg dish is among world's '50 best egg dishes'
"Everest snow cover has retreated by 490ft in 1.5 months, says study",https://timesofindia.indiatimes.com/city/dehradun/everests-snow-line-rose-by-490-ft-in-less-than-2-months-nasa-data/articleshow/118395555.cms,https://static.toiimg.com/photo/83033472.cms,How a simple breakfast of egg and bread helped this 24 year old girl save Rs 83 Lakh
"A decade ago, he was dragged out — now, Vijender Gupta will run the show as Delhi House speaker",https://timesofindia.indiatimes.com/city/delhi/a-decade-ago-he-was-dragged-outnow-he-runs-the-show-as-delhi-assembly-speaker/articleshow/118408115.cms,https://static.toiimg.com/photo/83033472.cms,How to make South Indian Appe with dosa batter for breakfast
"Pride of India, Asia’s first vertical-lift sea bridge set to open in TN",https://timesofindia.indiatimes.com/toi-plus/infrastructure/asias-first-vertical-lift-sea-bridge-set-to-open-how-it-works/articleshow/118355575.cms,https://static.toiimg.com/photo/83033472.cms,10 protein-packed comforting dishes made with chickpeas
IND vs BAN Live: Shami breaks Towhid -Jaker stand,https://timesofindia.indiatimes.com/sports/cricket/india-vs-bangladesh-live-score-ind-vs-ban-champions-trophy-2025-national-cricket-team-scorecard-live-streaming-dubai-stadium/liveblog/118407600.cms,https://static.toiimg.com/photo/83033472.cms,​3 effortless ways to set restaurant-style curd​
"Tesla likely to import cars from Germany, skip China",https://timesofindia.indiatimes.com/business/international-business/tesla-likely-to-import-cars-from-germany-skip-china/articleshow/118398940.cms,https://static.toiimg.com/photo/83033472.cms,How to make Dhaba-style Champaran Chicken Handi at home
Watch: How Rohit Sharma messed up Axar's hat-trick chance,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/watch-how-rohit-sharma-messed-up-axar-patels-hat-trick-chance/articleshow/118416362.cms,https://static.toiimg.com/photo/83033472.cms,You can't miss Mindy Kaling's show-stopping necklace
"'Dragged out of lift, assaulted': Woman attacks minor over pet dog objection",https://timesofindia.indiatimes.com/city/noida/dragged-out-of-lift-assaulted-woman-detained-for-attacking-minor-over-pet-dog-objection-in-greater-noida-society/articleshow/118412726.cms,https://static.toiimg.com/photo/83033472.cms,6 home remedies to improve leg strength and relieve muscle pain
Gurgaon lawyer held for Noida boy’s death in celebratory firing,https://timesofindia.indiatimes.com/city/noida/city-resident-a-lawyer-held-for-boys-death-in-celebratory-firing/articleshow/118393577.cms,https://static.toiimg.com/photo/83033472.cms,"THIS company implements a strict 'two-minute' toilet rule, to fine employees breaking the policy"
Police receive email threat to bomb Maharashtra deputy CM Shinde’s car,https://timesofindia.indiatimes.com/city/mumbai/mumbai-police-receive-email-threat-to-bomb-maharashtra-deputy-cm-eknath-shindes-car/articleshow/118415983.cms,https://static.toiimg.com/photo/83033472.cms,This protein-packed Indian egg dish is among world's '50 best egg dishes'
'Exercise caution': Centre's advisory to OTT platforms amid 'India's Got Latent' row,https://timesofindia.indiatimes.com/india/exercise-caution-centres-advisory-to-ott-platforms-amid-indias-got-latent-row/articleshow/118412550.cms,https://static.toiimg.com/photo/83033472.cms,How to use Honey for instant hair growth
California judge shoots wife during argument while watching 'Breaking Bad',https://timesofindia.indiatimes.com/world/us/california-judge-shoots-wife-during-argument-while-watching-breaking-bad/articleshow/118403215.cms,https://static.toiimg.com/photo/83033472.cms,6 types of people every child will face in life and how to deal with them
Shopping: Discounts Up to 60% Off on Gadgets & Electronics,https://timesofindia.indiatimes.com/us/amazon-bestsellers,https://static.toiimg.com/photo/83033472.cms,10 most beautiful lines from Shakespeare's plays with profound meaning
NASA leadership changes spark uncertainty over the future of the US Moon program,https://timesofindia.indiatimes.com/science/nasa-leadership-changes-spark-uncertainty-over-the-future-of-the-us-moon-program/articleshow/118415137.cms,https://static.toiimg.com/photo/83033472.cms,5 natural sources of Biotin which encourage hair growth
Measles outbreak in Texas and New Mexico intensifies: Symptoms and severe complications to watch out for,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/measles-outbreak-in-texas-and-new-mexico-intensifies-symptoms-and-severe-complications-to-watch-out-for/articleshow/118418702.cms,https://static.toiimg.com/photo/83033472.cms,10 most beautiful lines from Shakespeare's plays with profound meaning
"Love & Dating Horoscope for February 20, 2025",https://timesofindia.indiatimes.com/astrology/horoscope/love-dating-horoscope-for-february-20-2025/articleshow/118387604.cms,https://static.toiimg.com/photo/83033472.cms,5 designer essential bags every 'Momager' should have
"Horoscope Tomorrow, February 21, 2025: Your zodiac insights await",https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-tomorrow-february-21-2025-your-zodiac-insights-await/articleshow/118393926.cms,https://static.toiimg.com/photo/83033472.cms,10 things parents should never do in the morning before sending kids to school
Australian children bypass social media age limit restriction as landmark ban nears: Report,https://timesofindia.indiatimes.com/technology/tech-news/australian-children-bypass-social-media-age-limit-restriction-as-landmark-ban-nears-report/articleshow/118414730.cms,https://static.toiimg.com/photo/83033472.cms,10 timeless lines from Mirza Ghalib's shayaris
"Pokemon GO Zekrom raid guide: Best counters, strengths, weakness, moveset, and more",https://timesofindia.indiatimes.com/sports/esports/pokemon/pokemon-go-zekrom-raid-guide-best-counters-strengths-weakness-moveset-and-more/articleshow/118418273.cms,https://static.toiimg.com/photo/83033472.cms,7 fruits that help a person lose extra fat near the belly
"Daily Muhurat Update (February 20, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for New York City",https://timesofindia.indiatimes.com/astrology/panchang/daily-muhurat-update-february-20-2025-tithi-festivals-auspicious-yogas-rahu-kaal-for-new-york-city/articleshow/118387650.cms,https://static.toiimg.com/photo/83033472.cms,6 benefits of drinking ginger-turmeric tea in the morning
Trump Doubles Down On 'False' Condom Claim; '$100 Million Designated By US To Buy...',https://timesofindia.indiatimes.com/videos/international/trump-doubles-down-on-false-condom-claim-100-million-designated-by-us-to-buy-/videoshow/118415643.cms,https://static.toiimg.com/photo/83033472.cms,Sanya Malhotra approved trendy blouse designs
